"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","has_prior"
2890651,2855821,1,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-06-25,"N","182(a)(1)","PC","Felony",2020-04-22,"Dismissed/Not Guilty",1
2890651,2855821,2,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-06-25,"N","211/212.5(c)","PC","Felony",2020-04-22,"Dismissed/Not Guilty",1
2890651,2855821,3,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-06-25,"N","422(a)","PC","Felony",2020-04-22,"Guilty",1
2890651,2855821,6,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-07-11,"N","182(a)(1)","PC","Felony",2020-04-22,"Dismissed/Not Guilty",1
2890651,2855821,9,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-06-22,"N","182(a)(1)","PC","Felony",2020-04-22,"Guilty",1
2890651,2855821,12,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-07-11,"N","182(a)(1)","PC","Felony",2020-04-22,"Guilty",1
2890651,2855821,15,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-08-09,"N","182(a)(1)","PC","Felony",2020-04-22,"Dismissed/Not Guilty",1
2890651,2855821,16,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-08-09,"N","459-460(b)","PC","Felony",2020-04-22,"Guilty",1
2890651,2855821,17,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-08-09,"N","487(a)","PC","Felony",2020-04-22,"Dismissed/Not Guilty",1
2890651,2855821,18,"186.22(b)(1)","PC","Enhancement",2020-04-22,"Dismissed/Not True","Black","Male",NA,1e+06,"Request for Warrant",NA,2016-08-15,"N","182(a)(1)","PC","Felony",2020-04-22,"Dismissed/Not Guilty",1
