"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Crime Type_enhancement","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type_primary","Disposition Date_primary","Disposition_primary","...11","has_prior"
3584588,3556582,1,"186.22(b)(1)","PC","Enhancement",2025-05-02,"True","Black","Male",2024-04-21,NA,"In Custody",NA,2024-04-21,"N","207(a)","PC","Felony",2025-05-02,"Guilty",NA,1
3585034,3615026,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-12-03,50000,"In Custody",NA,2024-12-03,"N","245(a)(1)","PC","Felony",NA,NA,NA,0
3587067,3617273,1,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2024-12-11,1e+06,"In Custody",NA,2023-03-29,"N","187(a)","PC","Felony",NA,NA,NA,0
3587067,3617273,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-12-11,1e+06,"In Custody",NA,2023-03-29,"N","26100(c)","PC","Felony",NA,NA,NA,0
3588526,3618875,1,"186.22(b)(1)","PC","Enhancement",2025-01-06,"Dismissed/Not True","Hispanic","Male",2024-12-18,150000,"In Custody",NA,2024-12-18,"N","11370.1(a)","HS","Felony",2025-01-06,"Guilty",NA,1
3588526,3618875,2,"186.22(b)(1)","PC","Enhancement",2025-01-06,"Dismissed/Not True","Hispanic","Male",2024-12-18,150000,"In Custody",NA,2024-12-18,"N","29800(a)(1)","PC","Felony",2025-01-06,"Guilty",NA,1
3588526,3618875,3,"186.22(b)(1)","PC","Enhancement",2025-01-06,"Dismissed/Not True","Hispanic","Male",2024-12-18,150000,"In Custody",NA,2024-12-18,"N","25850(a)/(c)(1)","PC","Felony",2025-01-06,"Guilty",NA,1
3588526,3618875,4,"186.22(b)(1)","PC","Enhancement",2025-01-06,"Dismissed/Not True","Hispanic","Male",2024-12-18,150000,"In Custody",NA,2024-12-18,"N","25400(a)(2)/(c)(1)","PC","Felony",2025-01-06,"Guilty",NA,1
3589128,3619552,1,"186.22(b)(1)","PC","Enhancement",2025-06-10,"True","Hispanic","Male",2024-12-20,2e+05,"In Custody",NA,2024-12-20,"N","245(a)(1)","PC","Felony",2025-06-10,"Guilty",NA,0
3594613,3611521,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-11-19,1e+06,"Appearance Date",NA,2024-11-19,"N","182(a)(1)","PC","Felony",NA,NA,NA,1
3594613,3611521,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-11-19,1e+06,"Appearance Date",NA,2024-11-19,"Y","4573.6(a)","PC","Felony",NA,NA,NA,1
3594613,3611521,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-11-19,1e+06,"Appearance Date",NA,2024-11-19,"N","11378","HS","Felony",NA,NA,NA,1
3594613,3611521,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-11-19,1e+06,"Appearance Date",NA,2024-11-19,"N","11379(a)","HS","Felony",NA,NA,NA,1
3604958,3601091,1,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2024-10-11,2e+06,"In Custody",NA,2024-09-08,"N","246","PC","Felony",NA,NA,NA,1
3604958,3601091,2,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2024-10-11,2e+06,"In Custody",NA,2024-09-08,"N","182(a)(1)","PC","Felony",NA,NA,NA,1
3617285,3611522,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-11-19,1e+06,"In Custody",NA,2024-11-19,"N","182(a)(1)","PC","Felony",NA,NA,NA,1
3617285,3611522,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-11-19,1e+06,"In Custody",NA,2024-11-19,"Y","4573.6(a)","PC","Felony",NA,NA,NA,1
3617285,3611522,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-11-19,1e+06,"In Custody",NA,2024-11-19,"N","11378","HS","Felony",NA,NA,NA,1
3617285,3611522,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-11-19,1e+06,"In Custody",NA,2024-11-19,"N","11379(a)","HS","Felony",NA,NA,NA,1
