"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Crime Type_enhancement","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type_primary","Disposition Date_primary","Disposition_primary","...11","has_prior"
3541169,3567018,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-01,1e+06,"In Custody",NA,2024-05-30,"N","422(a)","PC","Felony",NA,NA,NA,1
3541169,3567018,5,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-01,1e+06,"In Custody",NA,2024-05-30,"N","29800(a)(1)","PC","Felony",NA,NA,NA,1
3542835,3568828,1,"186.22(b)(4)","PC","Other",2024-12-20,"Dismissed/Not True","Hispanic","Male",2024-06-07,NA,"In Custody",NA,2024-06-03,"N","187(a)","PC","Felony",2024-12-20,"Dismissed/Not Guilty",NA,0
3543911,3570010,1,"186.22(b)(1)","PC","Enhancement",2024-06-14,"Dismissed/Not True","Hispanic","Male",2024-06-12,2e+05,"In Custody",NA,2024-04-18,"N","245(b)","PC","Felony",2024-06-14,"Dismissed/Not Guilty",NA,0
3543911,3570010,2,"186.22(b)(1)","PC","Enhancement",2024-06-14,"Dismissed/Not True","Hispanic","Male",2024-06-12,2e+05,"In Custody",NA,2024-04-18,"N","245(b)","PC","Felony",2024-06-14,"Dismissed/Not Guilty",NA,0
3544366,3570492,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570492,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570492,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570492,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570492,5,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570492,6,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570492,7,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570492,8,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570492,9,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570492,10,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570492,11,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2024-06-14,1e+06,"In Custody",NA,2024-06-13,"N","246","PC","Felony",NA,NA,NA,0
3544366,3570493,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570493,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570493,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570493,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570493,5,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3544366,3570493,6,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570493,7,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570493,8,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570493,9,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570493,10,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","245(b)","PC","Felony",NA,NA,NA,0
3544366,3570493,11,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2024-06-14,5e+05,"In Custody",NA,2024-06-13,"N","246","PC","Felony",NA,NA,NA,0
3544604,3570746,1,"186.22(b)(1)","PC","Enhancement",2024-06-28,"Dismissed/Not True","Hispanic","Male",2024-06-18,3e+05,"In Custody",NA,2024-06-18,"N","29820(a)(1)(A)/(b)","PC","Felony",2024-06-28,"Guilty",NA,1
3544604,3570746,2,"186.22(b)(1)","PC","Enhancement",2024-06-28,"Dismissed/Not True","Hispanic","Male",2024-06-18,3e+05,"In Custody",NA,2024-06-18,"N","30305(a)(1)","PC","Felony",2024-06-28,"Dismissed/Not Guilty",NA,1
