"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","...11","has_prior"
3321036,3327138,2,"186.22(b)(1)","PC","Enhancement",2022-04-12,"TRUE","Hispanic","Male",2021-09-04,2e+05,"In Custody",NA,2021-09-04,"N","29800(a)(1)","PC","Felony",2022-04-12,"Guilty",NA,1
3321036,3327138,3,"186.22(b)(1)","PC","Enhancement",2022-04-12,"TRUE","Hispanic","Male",2021-09-04,2e+05,"In Custody",NA,2021-09-04,"N","25400(a)(1)/(c)(3)","PC","Felony",2022-04-12,"Guilty",NA,1
3321036,3327138,4,"186.22(b)(1)","PC","Enhancement",2022-04-12,"TRUE","Hispanic","Male",2021-09-04,2e+05,"In Custody",NA,2021-09-04,"N","25850(a)/(c)(2)","PC","Felony",2022-04-12,"Guilty",NA,1
3321036,3327138,5,"186.22(b)(1)","PC","Enhancement",2022-04-12,"TRUE","Hispanic","Male",2021-09-04,2e+05,"In Custody",NA,2021-09-04,"N","11378","HS","Felony",2022-04-12,"Guilty",NA,1
3324829,3331228,1,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-09-20,1e+06,"Walk Thru Warrant",NA,2021-09-19,"N","211/212.5(c)","PC","Felony",2022-04-25,"Guilty",NA,1
3324829,3331228,2,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-09-20,1e+06,"Walk Thru Warrant",NA,2021-09-19,"N","245(b)","PC","Felony",2022-04-25,"Guilty",NA,1
3324829,3331228,5,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-09-20,1e+06,"Walk Thru Warrant",NA,2021-09-19,"N","11378","HS","Felony",2022-04-25,"Guilty",NA,1
3324829,3331228,6,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-09-20,1e+06,"Walk Thru Warrant",NA,2021-09-19,"N","11379(a)","HS","Felony",2022-04-25,"Guilty",NA,1
3324829,3331229,1,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-09-20,1e+06,"In Custody",NA,2021-09-19,"N","211/212.5(c)","PC","Felony",2022-04-25,"Guilty",NA,1
3324829,3331229,2,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-09-20,1e+06,"In Custody",NA,2021-09-19,"N","245(b)","PC","Felony",2022-04-25,"Guilty",NA,1
3324829,3331229,5,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-09-20,1e+06,"In Custody",NA,2021-09-19,"N","11378","HS","Felony",2022-04-25,"Guilty",NA,1
3324829,3331229,6,"186.22(b)(1)","PC","Enhancement",2022-04-25,"TRUE","Hispanic","Male",2021-09-20,1e+06,"In Custody",NA,2021-09-19,"N","11379(a)","HS","Felony",2022-04-25,"Guilty",NA,1
