"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","has_prior"
2591547,2641590,1,"186.22(b)(1)","PC","Enhancement",2015-03-10,"True","Hispanic","Male",NA,1e+06,"In Custody",NA,2014-02-02,"N","664(a)-187(a)","PC","Felony",2015-03-10,"Guilty",0
2591547,2641590,3,"186.22(b)(1)","PC","Enhancement",2015-03-10,"True","Hispanic","Male",NA,1e+06,"In Custody",NA,2014-02-02,"N","245(a)(1)","PC","Felony",2015-03-10,"Guilty",0
2591614,2640833,1,"186.22(b)(1)","PC","Enhancement",2015-12-04,"True","Asian","Male",2014-05-16,1e+06,"In Custody",NA,2014-05-16,"N","245(a)(1)","PC","Felony",2015-12-04,"Guilty",1
2591614,2640833,2,"186.22(b)(1)","PC","Enhancement",2015-12-04,"True","Asian","Male",2014-05-16,1e+06,"In Custody",NA,2014-05-16,"N","245(a)(1)","PC","Felony",2015-12-04,"Guilty",1
2591614,2640835,1,"186.22(b)(1)","PC","Enhancement",2015-12-02,"Dismissed/Not True","Hispanic","Male",2014-05-16,2e+05,"In Custody",NA,2014-05-16,"N","245(a)(1)","PC","Felony",2015-12-02,"Guilty",1
2591614,2640835,2,"186.22(b)(1)","PC","Enhancement",2015-12-02,"Dismissed/Not True","Hispanic","Male",2014-05-16,2e+05,"In Custody",NA,2014-05-16,"N","245(a)(1)","PC","Felony",2015-12-02,"Guilty",1
2591635,2640859,1,"186.22(b)(1)","PC","Enhancement",2016-10-14,"True","Hispanic","Male",2014-05-18,1e+05,"In Custody",NA,2014-05-16,"Y","211/212.5(c)","PC","Felony",2016-10-14,"Guilty",0
2591635,2640859,3,"186.22(b)(1)","PC","Enhancement",2016-10-28,"Dismissed/Not True","Hispanic","Male",2014-05-18,1e+05,"In Custody",NA,2014-05-16,"N","245(a)(4)","PC","Felony",2016-10-28,"Dismissed/Not Guilty",0
2591635,2640859,4,"186.22(b)(1)","PC","Enhancement",2016-10-14,"True","Hispanic","Male",2014-05-18,1e+05,"In Custody",NA,2014-05-16,"N","245(a)(1)","PC","Felony",2016-10-14,"Guilty",0
2591635,2647435,1,"186.22(b)(1)","PC","Enhancement",2016-12-16,"True","Hispanic","Male",NA,150000,"In Custody",NA,2014-05-16,"Y","211/212.5(c)","PC","Felony",2016-12-16,"Guilty",1
2591635,2647435,2,"186.22(b)(1)","PC","Enhancement",2016-12-16,"True","Hispanic","Male",NA,150000,"In Custody",NA,2014-05-16,"N","245(a)(1)","PC","Felony",2016-12-16,"Guilty",1
2591635,2647435,3,"186.22(b)(1)","PC","Enhancement",2016-12-16,"True","Hispanic","Male",NA,150000,"In Custody",NA,2014-05-16,"N","245(a)(4)","PC","Felony",2016-12-16,"Guilty",1
2591635,2647435,4,"186.22(b)(1)","PC","Enhancement",2016-12-16,"True","Hispanic","Male",NA,150000,"In Custody",NA,2014-05-16,"N","245(a)(1)","PC","Felony",2016-12-16,"Guilty",1
2591653,2640879,1,"186.22(b)(1)","PC","Enhancement",2018-04-10,"True","Hispanic","Male",NA,1e+06,"In Custody",NA,2014-05-12,"N","245(a)(1)","PC","Felony",2018-04-10,"Guilty",1
2591653,2640879,2,"186.22(b)(1)","PC","Enhancement",2018-04-10,"Dismissed/Not True","Hispanic","Male",NA,1e+06,"In Custody",NA,2014-05-12,"N","422(a)","PC","Felony",2018-04-10,"Dismissed/Not Guilty",1
2591653,2640879,3,"186.22(b)(4)","PC","Other",2018-04-10,"Dismissed/Not True","Hispanic","Male",NA,1e+06,"In Custody",NA,2014-05-12,"N","136.1(c)(1)","PC","Felony",2018-04-10,"Guilty",1
2591693,2640925,1,"186.22(b)(1)","PC","Enhancement",2014-10-03,"Dismissed/Not True","Hispanic","Male",2014-05-16,250000,"In Custody",NA,2014-05-02,"N","245(a)(2)","PC","Felony",2014-10-03,"Dismissed/Not Guilty",0
